МАТЧ,ВРЕМЯ,МОНТАЖЕР,Ссылка на готовый хайлайт (на диске),YOUTUBE КХЛ,,,,,,,,,,,,,,,,,,,,,
Северсталь - Драконы,0.70833333333333337,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
Спартак - ХК Сочи,0.70833333333333337,Поляков,,,,,,,,,,,,,,,,,,,,,,,
27 октября (понедельник),,,,,,,,,,,,,,,,,,,,,,,,,
Авангард - Металлург,0.6875,Рыжиков,,,,,,,,,,,,,,,,,,,,,,,
Нефтехимик - Барыс,0.79166666666666663,Осипов,,,,,,,,,,,,,,,,,,,,,,,
Ак Барс - Адмирал,0.79166666666666663,Житников,,,,,,,,,,,,,,,,,,,,,,,
28 октября (вторник),,,,,,,,,,,,,,,,,,,,,,,,,
Трактор - Автомобилист,0.70833333333333337,Житников,,,,,,,,,,,,,,,,,,,,,,,
Северсталь - Амур,0.79166666666666663,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
Динамо Мн - ХК Сочи,0.79861111111111116,,,,,,,,,,,,,,,,,,,,,,,,
Спартак - ЦСКА,0.8125,Чурилов,,,,,,,,,,,,,,,,,,,,,,,
Локомотив - Лада,0.8125,Поляков,,,,,,,,,,,,,,,,,,,,,,,
Драконы - Динамо М,0.8125,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
29 октября (среда),,,,,,,,,,,,,,,,,,,,,,,,,
Авангард - Барыс,0.6875,Колышев,,,,,,,,,,,,,,,,,,,,,,,
Салават Юлаев - Адмирал,0.70833333333333337,Житников,,,,,,,,,,,,,,,,,,,,,,,
Ак Барс - Металлург,0.79166666666666663,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
СКА - Сибирь,0.8125,Осипов,,,,,,,,,,,,,,,,,,,,,,,
30 октября (четверг),,,,,,,,,,,,,,,,,,,,,,,,,
Северсталь - Динамо М,0.79166666666666663,Осипов,,,,,,,,,,,,,,,,,,,,,,,
Торпедо - Лада,0.79166666666666663,Житников,,,,,,,,,,,,,,,,,,,,,,,
Динамо Мн - Амур,0.79861111111111116,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
31 октября (пятница),,,,,,,,,,,,,,,,,,,,,,,,,
Автомобилист - Сибирь,0.70833333333333337,Житников,,,,,,,,,,,,,,,,,,,,,,,
Трактор - Барыс,0.70833333333333337,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
Салават Юлаев - Адмирал,0.70833333333333337,Поляков,,,,,,,,,,,,,,,,,,,,,,,
Локомотив - СКА,0.8125,Колышев,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
